%D;pD;%X;pX;pc;pt
5;5;5;5;54.80099502487562;1402.5024875621891
5;5;5;15;53.28606965174129;545.407960199005
5;5;5;25;52.58706467661692;1191.4701492537313
5;5;5;35;51.76865671641791;446.1517412935323
5;5;5;45;54.027363184079604;965.8383084577115
5;5;5;55;53.20398009950249;635.7487562189054
5;5;5;65;52.27363184079602;610.8756218905472
5;5;5;75;55.1044776119403;970.0597014925373
5;5;5;85;52.30099502487562;730.7164179104477
5;5;5;95;53.975124378109456;546.3930348258707
5;5;15;5;51.146766169154226;685.3258706467661
5;5;15;15;54.0771144278607;626.5174129353234
5;5;15;25;55.38308457711443;547.4029850746268
5;5;15;35;54.417910447761194;676.8830845771145
5;5;15;45;48.298507462686565;657.2611940298508
5;5;15;55;54.149253731343286;1419.6318407960198
5;5;15;65;54.67661691542288;619.1492537313433
5;5;15;75;52.12189054726368;1034.2910447761194
5;5;15;85;50.708955223880594;1536.4776119402984
5;5;15;95;51.482587064676615;682.5472636815921
5;5;25;5;58.0547263681592;2144.1592039800994
5;5;25;15;52.37313432835821;537.8905472636816
5;5;25;25;53.92786069651741;953.636815920398
5;5;25;35;54.61691542288557;1596.4626865671642
5;5;25;45;53.24626865671642;1038.3084577114428
5;5;25;55;55.32835820895522;810.8656716417911
5;5;25;65;53.70646766169154;710.9850746268656
5;5;25;75;54.48009950248756;959.5572139303482
5;5;25;85;54.81094527363184;572.3258706467661
5;5;25;95;54.233830845771145;1066.5646766169154
5;5;35;5;53.375621890547265;563.9179104477612
5;5;35;15;53.17412935323383;796.4253731343283
5;5;35;25;53.1865671641791;1087.7487562189056
5;5;35;35;54.82338308457712;1339.7164179104477
5;5;35;45;54.291044776119406;1006.9875621890548
5;5;35;55;54.61940298507463;865.7388059701492
5;5;35;65;53.30348258706468;632.1417910447761
5;5;35;75;54.54726368159204;511.1940298507463
5;5;35;85;55.5547263681592;639.1293532338309
5;5;35;95;49.71641791044776;627.8557213930349
5;5;45;5;52.60945273631841;936.6293532338309
5;5;45;15;56.12935323383085;530.9776119402985
5;5;45;25;55.601990049751244;548.5597014925373
5;5;45;35;52.80597014925373;380.5074626865672
5;5;45;45;56.9452736318408;1015.1044776119403
5;5;45;55;51.87064676616915;1145.2636815920398
5;5;45;65;52.18407960199005;419.0074626865672
5;5;45;75;54.4452736318408;901.3233830845771
5;5;45;85;51.33582089552239;395.0074626865672
5;5;45;95;54.09701492537314;648.3457711442786
5;5;55;5;53.017412935323385;483.7860696517413
5;5;55;15;53.069651741293534;445.3059701492537
5;5;55;25;53.25124378109453;1894.5348258706467
5;5;55;35;51.27860696517413;561.6194029850747
5;5;55;45;53.646766169154226;635.6343283582089
5;5;55;55;52.97014925373134;568.8333333333334
5;5;55;65;53.46268656716418;935.3457711442786
5;5;55;75;53.601990049751244;1002.042288557214
5;5;55;85;51.73880597014925;660.223880597015
5;5;55;95;52.14179104477612;629.3432835820895
5;5;65;5;53.31592039800995;430.3805970149254
5;5;65;15;52.73134328358209;580.0746268656717
5;5;65;25;52.71641791044776;706.4776119402985
5;5;65;35;54.13681592039801;360.8905472636816
5;5;65;45;50.07213930348259;330.33830845771143
5;5;65;55;52.07960199004975;571.6218905472637
5;5;65;65;53.86069651741293;1069.9452736318408
5;5;65;75;52.756218905472636;555.9701492537314
5;5;65;85;50.43532338308458;649.7064676616916
5;5;65;95;53.691542288557216;485.6119402985075
5;5;75;5;54.06467661691542;491.55970149253733
5;5;75;15;53.850746268656714;448.99751243781094
5;5;75;25;53.114427860696516;1248.8781094527362
5;5;75;35;52.156716417910445;916.8432835820895
5;5;75;45;51.04726368159204;563.0223880597015
5;5;75;55;53.950248756218905;726.5124378109452
5;5;75;65;52.95522388059702;491.50995024875624
5;5;75;75;52.992537313432834;781.6542288557214
5;5;75;85;54.26119402985075;592.2189054726368
5;5;75;95;56.07462686567164;577.502487562189
5;5;85;5;51.09452736318408;486.1442786069652
5;5;85;15;53.75124378109453;1057.4402985074628
5;5;85;25;52.756218905472636;607.8731343283582
5;5;85;35;54.09701492537314;697.3880597014926
5;5;85;45;54.42039800995025;483.6169154228856
5;5;85;55;51.09701492537314;385.52985074626866
5;5;85;65;53.30348258706468;480.6592039800995
